DATE,TYPE,CONSTRUCTION SPEND
2002-01-01,Total Construction,59516
2002-01-01,Residential,25972
2002-01-01,Nonresidential,33545
2002-02-01,Total Construction,58588
2002-02-01,Residential,25721
2002-02-01,Nonresidential,32868
2002-03-01,Total Construction,63782
2002-03-01,Residential,29826
2002-03-01,Nonresidential,33956
2002-04-01,Total Construction,69504
2002-04-01,Residential,33008
2002-04-01,Nonresidential,36496
2002-05-01,Total Construction,73384
2002-05-01,Residential,35059
2002-05-01,Nonresidential,38325
2002-06-01,Total Construction,77182
2002-06-01,Residential,37908
2002-06-01,Nonresidential,39273
2002-07-01,Total Construction,78863
2002-07-01,Residential,38880
2002-07-01,Nonresidential,39983
2002-08-01,Total Construction,79460
2002-08-01,Residential,38359
2002-08-01,Nonresidential,41101
2002-09-01,Total Construction,76542
2002-09-01,Residential,36082
2002-09-01,Nonresidential,40460
2002-10-01,Total Construction,75710
2002-10-01,Residential,36226
2002-10-01,Nonresidential,39484
2002-11-01,Total Construction,71362
2002-11-01,Residential,34570
2002-11-01,Nonresidential,36792
2002-12-01,Total Construction,63984
2002-12-01,Residential,30352
2002-12-01,Nonresidential,33632
2003-01-01,Total Construction,59877
2003-01-01,Residential,28794
2003-01-01,Nonresidential,31083
2003-02-01,Total Construction,58526
2003-02-01,Residential,28015
2003-02-01,Nonresidential,30511
2003-03-01,Total Construction,64506
2003-03-01,Residential,32176
2003-03-01,Nonresidential,32330
2003-04-01,Total Construction,69638
2003-04-01,Residential,34739
2003-04-01,Nonresidential,34899
2003-05-01,Total Construction,74473
2003-05-01,Residential,37169
2003-05-01,Nonresidential,37304
2003-06-01,Total Construction,80377
2003-06-01,Residential,40408
2003-06-01,Nonresidential,39969
2003-07-01,Total Construction,82971
2003-07-01,Residential,43048
2003-07-01,Nonresidential,39923
2003-08-01,Total Construction,85191
2003-08-01,Residential,43671
2003-08-01,Nonresidential,41520
2003-09-01,Total Construction,83841
2003-09-01,Residential,41846
2003-09-01,Nonresidential,41995
2003-10-01,Total Construction,83133
2003-10-01,Residential,42798
2003-10-01,Nonresidential,40336
2003-11-01,Total Construction,77915
2003-11-01,Residential,41530
2003-11-01,Nonresidential,36385
2003-12-01,Total Construction,71050
2003-12-01,Residential,37059
2003-12-01,Nonresidential,33991
2004-01-01,Total Construction,64934
2004-01-01,Residential,34112
2004-01-01,Nonresidential,30822
2004-02-01,Total Construction,64138
2004-02-01,Residential,33451
2004-02-01,Nonresidential,30688
2004-03-01,Total Construction,73238
2004-03-01,Residential,39395
2004-03-01,Nonresidential,33843
2004-04-01,Total Construction,78354
2004-04-01,Residential,42264
2004-04-01,Nonresidential,36089
2004-05-01,Total Construction,83736
2004-05-01,Residential,45976
2004-05-01,Nonresidential,37759
2004-06-01,Total Construction,89932
2004-06-01,Residential,49245
2004-06-01,Nonresidential,40687
2004-07-01,Total Construction,93614
2004-07-01,Residential,52065
2004-07-01,Nonresidential,41549
2004-08-01,Total Construction,96164
2004-08-01,Residential,53427
2004-08-01,Nonresidential,42738
2004-09-01,Total Construction,92538
2004-09-01,Residential,49850
2004-09-01,Nonresidential,42688
2004-10-01,Total Construction,90582
2004-10-01,Residential,49831
2004-10-01,Nonresidential,40751
2004-11-01,Total Construction,86394
2004-11-01,Residential,46988
2004-11-01,Nonresidential,39406
2004-12-01,Total Construction,77733
2004-12-01,Residential,41806
2004-12-01,Nonresidential,35928
2005-01-01,Total Construction,72458
2005-01-01,Residential,39584
2005-01-01,Nonresidential,32874
2005-02-01,Total Construction,73094
2005-02-01,Residential,39828
2005-02-01,Nonresidential,33266
2005-03-01,Total Construction,81791
2005-03-01,Residential,45962
2005-03-01,Nonresidential,35829
2005-04-01,Total Construction,88032
2005-04-01,Residential,49906
2005-04-01,Nonresidential,38125
2005-05-01,Total Construction,93704
2005-05-01,Residential,52580
2005-05-01,Nonresidential,41125
2005-06-01,Total Construction,100678
2005-06-01,Residential,56941
2005-06-01,Nonresidential,43738
2005-07-01,Total Construction,103875
2005-07-01,Residential,60026
2005-07-01,Nonresidential,43850
2005-08-01,Total Construction,107453
2005-08-01,Residential,61377
2005-08-01,Nonresidential,46076
2005-09-01,Total Construction,104682
2005-09-01,Residential,58829
2005-09-01,Nonresidential,45853
2005-10-01,Total Construction,104039
2005-10-01,Residential,59799
2005-10-01,Nonresidential,44240
2005-11-01,Total Construction,98348
2005-11-01,Residential,55939
2005-11-01,Nonresidential,42409
2005-12-01,Total Construction,88657
2005-12-01,Residential,49412
2005-12-01,Nonresidential,39245
2006-01-01,Total Construction,82400
2006-01-01,Residential,46016
2006-01-01,Nonresidential,36383
2006-02-01,Total Construction,82381
2006-02-01,Residential,45647
2006-02-01,Nonresidential,36734
2006-03-01,Total Construction,92354
2006-03-01,Residential,52192
2006-03-01,Nonresidential,40162
2006-04-01,Total Construction,97056
2006-04-01,Residential,54544
2006-04-01,Nonresidential,42512
2006-05-01,Total Construction,101862
2006-05-01,Residential,55564
2006-05-01,Nonresidential,46297
2006-06-01,Total Construction,106777
2006-06-01,Residential,56924
2006-06-01,Nonresidential,49854
2006-07-01,Total Construction,107150
2006-07-01,Residential,57289
2006-07-01,Nonresidential,49861
2006-08-01,Total Construction,108598
2006-08-01,Residential,56489
2006-08-01,Nonresidential,52110
2006-09-01,Total Construction,103102
2006-09-01,Residential,52193
2006-09-01,Nonresidential,50909
2006-10-01,Total Construction,100721
2006-10-01,Residential,51075
2006-10-01,Nonresidential,49647
2006-11-01,Total Construction,93850
2006-11-01,Residential,45842
2006-11-01,Nonresidential,48009
2006-12-01,Total Construction,85031
2006-12-01,Residential,40100
2006-12-01,Nonresidential,44931
2007-01-01,Total Construction,79009
2007-01-01,Residential,36794
2007-01-01,Nonresidential,42215
2007-02-01,Total Construction,78501
2007-02-01,Residential,35889
2007-02-01,Nonresidential,42611
2007-03-01,Total Construction,87421
2007-03-01,Residential,41096
2007-03-01,Nonresidential,46325
2007-04-01,Total Construction,93644
2007-04-01,Residential,44144
2007-04-01,Nonresidential,49500
2007-05-01,Total Construction,99690
2007-05-01,Residential,45233
2007-05-01,Nonresidential,54457
2007-06-01,Total Construction,105020
2007-06-01,Residential,47152
2007-06-01,Nonresidential,57868
2007-07-01,Total Construction,106779
2007-07-01,Residential,47952
2007-07-01,Nonresidential,58828
2007-08-01,Total Construction,109573
2007-08-01,Residential,47101
2007-08-01,Nonresidential,62472
2007-09-01,Total Construction,104744
2007-09-01,Residential,42668
2007-09-01,Nonresidential,62075
2007-10-01,Total Construction,104313
2007-10-01,Residential,41444
2007-10-01,Nonresidential,62870
2007-11-01,Total Construction,94934
2007-11-01,Residential,35974
2007-11-01,Nonresidential,58960
2007-12-01,Total Construction,84325
2007-12-01,Residential,30621
2007-12-01,Nonresidential,53703
