DATE,CPIEDUSL
1993-01-01,84.100
1993-02-01,84.300
1993-03-01,84.600
1993-04-01,84.800
1993-05-01,85.200
1993-06-01,85.400
1993-07-01,85.600
1993-08-01,86.000
1993-09-01,86.300
1993-10-01,86.500
1993-11-01,86.800
1993-12-01,87.200
1994-01-01,87.300
1994-02-01,87.900
1994-03-01,88.100
1994-04-01,88.300
1994-05-01,88.600
1994-06-01,88.900
1994-07-01,89.100
1994-08-01,89.300
1994-09-01,89.400
1994-10-01,89.600
1994-11-01,89.800
1994-12-01,90.100
1995-01-01,91.100
1995-02-01,91.200
1995-03-01,91.300
1995-04-01,91.600
1995-05-01,91.700
1995-06-01,92.100
1995-07-01,92.300
1995-08-01,92.500
1995-09-01,92.900
1995-10-01,93.100
1995-11-01,93.300
1995-12-01,93.700
1996-01-01,93.900
1996-02-01,94.200
1996-03-01,94.600
1996-04-01,94.300
1996-05-01,95.000
1996-06-01,95.300
1996-07-01,95.600
1996-08-01,95.800
1996-09-01,96.100
1996-10-01,96.400
1996-11-01,96.600
1996-12-01,96.900
1997-01-01,97.200
1997-02-01,97.400
1997-03-01,97.700
1997-04-01,97.900
1997-05-01,98.200
1997-06-01,98.500
1997-07-01,98.700
1997-08-01,98.700
1997-09-01,99.000
1997-10-01,99.300
1997-11-01,99.500
1997-12-01,99.800
1998-01-01,99.800
1998-02-01,99.700
1998-03-01,100.000
1998-04-01,100.200
1998-05-01,100.500
1998-06-01,100.600
1998-07-01,100.600
1998-08-01,100.100
1998-09-01,100.300
1998-10-01,100.400
1998-11-01,100.600
1998-12-01,100.500
1999-01-01,100.500
1999-02-01,100.800
1999-03-01,100.800
1999-04-01,101.000
1999-05-01,100.900
1999-06-01,101.000
1999-07-01,101.100
1999-08-01,101.300
1999-09-01,101.500
1999-10-01,101.600
1999-11-01,101.800
1999-12-01,101.900
2000-01-01,102.600
2000-02-01,102.200
2000-03-01,102.100
2000-04-01,102.200
2000-05-01,102.300
2000-06-01,102.100
2000-07-01,102.700
2000-08-01,102.800
2000-09-01,102.200
2000-10-01,103.000
2000-11-01,102.800
2000-12-01,103.400
2001-01-01,103.800
2001-02-01,103.900
2001-03-01,104.400
2001-04-01,104.500
2001-05-01,104.600
2001-06-01,105.000
2001-07-01,105.500
2001-08-01,105.800
2001-09-01,105.800
