DATE,CPIOGSSL
1967-01-01,34.500
1967-02-01,34.500
1967-03-01,34.600
1967-04-01,34.600
1967-05-01,34.700
1967-06-01,34.800
1967-07-01,35.000
1967-08-01,35.300
1967-09-01,35.500
1967-10-01,35.600
1967-11-01,35.800
1967-12-01,35.900
1968-01-01,36.100
1968-02-01,36.100
1968-03-01,36.400
1968-04-01,36.500
1968-05-01,36.600
1968-06-01,36.900
1968-07-01,37.000
1968-08-01,37.100
1968-09-01,37.300
1968-10-01,37.400
1968-11-01,37.600
1968-12-01,37.700
1969-01-01,37.800
1969-02-01,37.900
1969-03-01,38.000
1969-04-01,38.100
1969-05-01,38.200
1969-06-01,38.500
1969-07-01,38.800
1969-08-01,39.100
1969-09-01,39.300
1969-10-01,39.400
1969-11-01,39.700
1969-12-01,39.800
1970-01-01,39.900
1970-02-01,40.000
1970-03-01,40.200
1970-04-01,40.500
1970-05-01,40.700
1970-06-01,40.900
1970-07-01,41.200
1970-08-01,41.400
1970-09-01,41.500
1970-10-01,41.600
1970-11-01,41.800
1970-12-01,41.900
1971-01-01,42.200
1971-02-01,42.200
1971-03-01,42.300
1971-04-01,42.400
1971-05-01,42.600
1971-06-01,42.700
1971-07-01,43.000
1971-08-01,43.200
1971-09-01,43.500
1971-10-01,43.500
1971-11-01,43.600
1971-12-01,43.700
1972-01-01,43.900
1972-02-01,44.100
1972-03-01,44.300
1972-04-01,44.400
1972-05-01,44.600
1972-06-01,44.800
1972-07-01,44.800
1972-08-01,44.900
1972-09-01,45.000
1972-10-01,45.100
1972-11-01,45.200
1972-12-01,45.300
1973-01-01,45.300
1973-02-01,45.500
1973-03-01,45.800
1973-04-01,46.100
1973-05-01,46.200
1973-06-01,46.400
1973-07-01,46.600
1973-08-01,46.700
1973-09-01,46.900
1973-10-01,47.100
1973-11-01,47.300
1973-12-01,47.500
1974-01-01,47.600
1974-02-01,47.900
1974-03-01,48.200
1974-04-01,48.400
1974-05-01,48.900
1974-06-01,49.500
1974-07-01,50.000
1974-08-01,50.500
1974-09-01,50.900
1974-10-01,51.400
1974-11-01,51.800
1974-12-01,52.300
1975-01-01,52.700
1975-02-01,53.000
1975-03-01,53.300
1975-04-01,53.500
1975-05-01,53.700
1975-06-01,53.800
1975-07-01,54.100
1975-08-01,54.200
1975-09-01,54.300
1975-10-01,54.600
1975-11-01,54.800
1975-12-01,55.300
1976-01-01,55.600
1976-02-01,56.100
1976-03-01,56.200
1976-04-01,56.500
1976-05-01,56.700
1976-06-01,56.900
1976-07-01,57.100
1976-08-01,57.300
1976-09-01,57.500
1976-10-01,57.800
1976-11-01,58.200
1976-12-01,58.500
1977-01-01,58.900
1977-02-01,59.100
1977-03-01,59.300
1977-04-01,59.600
1977-05-01,59.800
1977-06-01,60.200
1977-07-01,60.500
1977-08-01,60.600
1977-09-01,60.900
1977-10-01,61.500
1977-11-01,62.000
1977-12-01,62.200
1978-01-01,62.500
1978-02-01,62.700
1978-03-01,62.900
1978-04-01,63.200
1978-05-01,63.600
1978-06-01,63.900
1978-07-01,64.700
1978-08-01,65.100
1978-09-01,65.500
1978-10-01,65.700
1978-11-01,66.000
1978-12-01,66.200
1979-01-01,66.700
1979-02-01,67.200
1979-03-01,67.700
1979-04-01,68.000
1979-05-01,68.400
1979-06-01,68.700
1979-07-01,69.100
1979-08-01,69.800
1979-09-01,70.200
1979-10-01,70.400
1979-11-01,70.800
1979-12-01,71.300
1980-01-01,72.200
1980-02-01,72.900
1980-03-01,73.400
1980-04-01,73.800
1980-05-01,74.500
1980-06-01,75.100
1980-07-01,75.600
1980-08-01,76.000
1980-09-01,76.800
1980-10-01,77.100
1980-11-01,77.700
1980-12-01,78.600
1981-01-01,79.200
1981-02-01,79.700
1981-03-01,80.300
1981-04-01,80.900
1981-05-01,81.900
1981-06-01,82.500
1981-07-01,83.000
1981-08-01,83.500
1981-09-01,84.500
1981-10-01,85.300
1981-11-01,85.700
1981-12-01,86.300
1982-01-01,86.900
1982-02-01,87.700
1982-03-01,88.600
1982-04-01,89.300
1982-05-01,89.900
1982-06-01,90.400
1982-07-01,91.100
1982-08-01,91.600
1982-09-01,92.800
1982-10-01,94.300
1982-11-01,95.500
1982-12-01,96.700
1983-01-01,97.900
1983-02-01,98.700
1983-03-01,99.000
1983-04-01,99.700
1983-05-01,100.000
1983-06-01,100.600
1983-07-01,101.800
1983-08-01,102.500
1983-09-01,102.500
1983-10-01,103.300
1983-11-01,104.000
1983-12-01,104.400
1984-01-01,105.200
1984-02-01,105.700
1984-03-01,106.200
1984-04-01,106.600
1984-05-01,106.900
1984-06-01,107.600
1984-07-01,108.500
1984-08-01,108.900
1984-09-01,109.600
1984-10-01,110.000
1984-11-01,110.400
1984-12-01,110.800
1985-01-01,111.700
1985-02-01,112.400
1985-03-01,112.800
1985-04-01,113.200
1985-05-01,113.700
1985-06-01,114.100
1985-07-01,115.000
1985-08-01,115.400
1985-09-01,116.200
1985-10-01,116.600
1985-11-01,117.100
1985-12-01,117.800
1986-01-01,118.800
1986-02-01,119.300
1986-03-01,119.800
1986-04-01,120.200
1986-05-01,120.600
1986-06-01,120.900
1986-07-01,121.900
1986-08-01,122.500
1986-09-01,123.300
1986-10-01,123.600
1986-11-01,123.900
1986-12-01,124.300
1987-01-01,125.200
1987-02-01,125.800
1987-03-01,126.300
1987-04-01,126.900
1987-05-01,127.500
1987-06-01,128.000
1987-07-01,128.700
1987-08-01,128.900
1987-09-01,130.000
1987-10-01,130.700
1987-11-01,131.400
1987-12-01,132.100
1988-01-01,132.800
1988-02-01,133.800
1988-03-01,134.600
1988-04-01,135.200
1988-05-01,135.900
1988-06-01,136.500
1988-07-01,137.300
1988-08-01,138.300
1988-09-01,138.700
1988-10-01,139.600
1988-11-01,140.400
1988-12-01,141.100
1989-01-01,142.800
1989-02-01,143.600
1989-03-01,144.400
1989-04-01,145.200
1989-05-01,146.100
1989-06-01,147.200
1989-07-01,148.200
1989-08-01,149.300
1989-09-01,150.100
1989-10-01,150.900
1989-11-01,151.600
1989-12-01,152.800
1990-01-01,153.500
1990-02-01,154.300
1990-03-01,155.200
1990-04-01,156.200
1990-05-01,157.200
1990-06-01,158.600
1990-07-01,160.200
1990-08-01,161.000
1990-09-01,161.500
1990-10-01,162.300
1990-11-01,163.400
1990-12-01,164.400
1991-01-01,165.900
1991-02-01,166.900
1991-03-01,167.900
1991-04-01,169.200
1991-05-01,169.700
1991-06-01,170.900
1991-07-01,171.900
1991-08-01,172.800
1991-09-01,174.700
1991-10-01,175.400
1991-11-01,176.500
1991-12-01,177.400
1992-01-01,177.900
1992-02-01,179.000
1992-03-01,179.800
1992-04-01,180.700
1992-05-01,182.100
1992-06-01,182.400
1992-07-01,183.600
1992-08-01,184.400
1992-09-01,185.800
1992-10-01,186.900
1992-11-01,187.300
1992-12-01,189.000
1993-01-01,190.300
