DATE,SECTOR,SALES (SEASONAL ADJ)
1992-01-01,Motor Vehicle and Parts Dealers,33478
1992-01-01,Furniture and Home Furnishings Stores,4254
1992-01-01,Electronics and Appliance Stores,3874
1992-01-01,Building Mat. and Garden Equip. and Supplies Dealers,10845
1992-01-01,Food and Beverage Stores,30437
1992-01-01,Health and Personal Care Stores,7421
1992-01-01,Gasoline Stations,12803
1992-01-01,Clothing and Clothing Access. Stores,9716
1992-01-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3385
1992-01-01,General Merchandise Stores,19879
1992-01-01,Miscellaneous Store Retailers,4318
1992-01-01,Nonstore Retailers,6515
1992-01-01,Food Services and Drinking Places,17170
1992-02-01,Motor Vehicle and Parts Dealers,33817
1992-02-01,Furniture and Home Furnishings Stores,4342
1992-02-01,Electronics and Appliance Stores,3904
1992-02-01,Building Mat. and Garden Equip. and Supplies Dealers,10904
1992-02-01,Food and Beverage Stores,30382
1992-02-01,Health and Personal Care Stores,7425
1992-02-01,Gasoline Stations,12601
1992-02-01,Clothing and Clothing Access. Stores,9712
1992-02-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3516
1992-02-01,General Merchandise Stores,20202
1992-02-01,Miscellaneous Store Retailers,4308
1992-02-01,Nonstore Retailers,6110
1992-02-01,Food Services and Drinking Places,16990
1992-03-01,Motor Vehicle and Parts Dealers,33336
1992-03-01,Furniture and Home Furnishings Stores,4330
1992-03-01,Electronics and Appliance Stores,3916
1992-03-01,Building Mat. and Garden Equip. and Supplies Dealers,10986
1992-03-01,Food and Beverage Stores,30526
1992-03-01,Health and Personal Care Stores,7443
1992-03-01,Gasoline Stations,12639
1992-03-01,Clothing and Clothing Access. Stores,9669
1992-03-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3482
1992-03-01,General Merchandise Stores,20168
1992-03-01,Miscellaneous Store Retailers,4292
1992-03-01,Nonstore Retailers,6018
1992-03-01,Food Services and Drinking Places,16916
1992-04-01,Motor Vehicle and Parts Dealers,33776
1992-04-01,Furniture and Home Furnishings Stores,4359
1992-04-01,Electronics and Appliance Stores,3958
1992-04-01,Building Mat. and Garden Equip. and Supplies Dealers,10738
1992-04-01,Food and Beverage Stores,30602
1992-04-01,Health and Personal Care Stores,7516
1992-04-01,Gasoline Stations,12710
1992-04-01,Clothing and Clothing Access. Stores,9862
1992-04-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3535
1992-04-01,General Merchandise Stores,20258
1992-04-01,Miscellaneous Store Retailers,4391
1992-04-01,Nonstore Retailers,6327
1992-04-01,Food Services and Drinking Places,16677
1992-05-01,Motor Vehicle and Parts Dealers,34357
1992-05-01,Furniture and Home Furnishings Stores,4331
1992-05-01,Electronics and Appliance Stores,3981
1992-05-01,Building Mat. and Garden Equip. and Supplies Dealers,10777
1992-05-01,Food and Beverage Stores,30718
1992-05-01,Health and Personal Care Stores,7458
1992-05-01,Gasoline Stations,12870
1992-05-01,Clothing and Clothing Access. Stores,9755
1992-05-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3512
1992-05-01,General Merchandise Stores,20345
1992-05-01,Miscellaneous Store Retailers,4356
1992-05-01,Nonstore Retailers,6550
1992-05-01,Food Services and Drinking Places,16602
1992-06-01,Motor Vehicle and Parts Dealers,34781
1992-06-01,Furniture and Home Furnishings Stores,4401
1992-06-01,Electronics and Appliance Stores,3992
1992-06-01,Building Mat. and Garden Equip. and Supplies Dealers,10790
1992-06-01,Food and Beverage Stores,30761
1992-06-01,Health and Personal Care Stores,7417
1992-06-01,Gasoline Stations,12886
1992-06-01,Clothing and Clothing Access. Stores,9915
1992-06-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3549
1992-06-01,General Merchandise Stores,20298
1992-06-01,Miscellaneous Store Retailers,4357
1992-06-01,Nonstore Retailers,6653
1992-06-01,Food Services and Drinking Places,16277
1992-07-01,Motor Vehicle and Parts Dealers,35199
1992-07-01,Furniture and Home Furnishings Stores,4368
1992-07-01,Electronics and Appliance Stores,4081
1992-07-01,Building Mat. and Garden Equip. and Supplies Dealers,10785
1992-07-01,Food and Beverage Stores,30963
1992-07-01,Health and Personal Care Stores,7292
1992-07-01,Gasoline Stations,12966
1992-07-01,Clothing and Clothing Access. Stores,9957
1992-07-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3586
1992-07-01,General Merchandise Stores,20205
1992-07-01,Miscellaneous Store Retailers,4468
1992-07-01,Nonstore Retailers,6891
1992-07-01,Food Services and Drinking Places,16496
1992-08-01,Motor Vehicle and Parts Dealers,34585
1992-08-01,Furniture and Home Furnishings Stores,4372
1992-08-01,Electronics and Appliance Stores,4048
1992-08-01,Building Mat. and Garden Equip. and Supplies Dealers,10915
1992-08-01,Food and Beverage Stores,31041
1992-08-01,Health and Personal Care Stores,7508
1992-08-01,Gasoline Stations,13092
1992-08-01,Clothing and Clothing Access. Stores,10141
1992-08-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3512
1992-08-01,General Merchandise Stores,20593
1992-08-01,Miscellaneous Store Retailers,4494
1992-08-01,Nonstore Retailers,6766
1992-08-01,Food Services and Drinking Places,16733
1992-09-01,Motor Vehicle and Parts Dealers,35890
1992-09-01,Furniture and Home Furnishings Stores,4345
1992-09-01,Electronics and Appliance Stores,4098
1992-09-01,Building Mat. and Garden Equip. and Supplies Dealers,10980
1992-09-01,Food and Beverage Stores,30942
1992-09-01,Health and Personal Care Stores,7420
1992-09-01,Gasoline Stations,13246
1992-09-01,Clothing and Clothing Access. Stores,10154
1992-09-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3566
1992-09-01,General Merchandise Stores,20684
1992-09-01,Miscellaneous Store Retailers,4549
1992-09-01,Nonstore Retailers,6714
1992-09-01,Food Services and Drinking Places,16812
1992-10-01,Motor Vehicle and Parts Dealers,35972
1992-10-01,Furniture and Home Furnishings Stores,4299
1992-10-01,Electronics and Appliance Stores,4186
1992-10-01,Building Mat. and Garden Equip. and Supplies Dealers,10971
1992-10-01,Food and Beverage Stores,31148
1992-10-01,Health and Personal Care Stores,7535
1992-10-01,Gasoline Stations,13304
1992-10-01,Clothing and Clothing Access. Stores,10174
1992-10-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3607
1992-10-01,General Merchandise Stores,20851
1992-10-01,Miscellaneous Store Retailers,4809
1992-10-01,Nonstore Retailers,6665
1992-10-01,Food Services and Drinking Places,17104
1992-11-01,Motor Vehicle and Parts Dealers,35928
1992-11-01,Furniture and Home Furnishings Stores,4368
1992-11-01,Electronics and Appliance Stores,4118
1992-11-01,Building Mat. and Garden Equip. and Supplies Dealers,10873
1992-11-01,Food and Beverage Stores,30992
1992-11-01,Health and Personal Care Stores,7497
1992-11-01,Gasoline Stations,13358
1992-11-01,Clothing and Clothing Access. Stores,10076
1992-11-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3626
1992-11-01,General Merchandise Stores,21078
1992-11-01,Miscellaneous Store Retailers,5059
1992-11-01,Nonstore Retailers,6610
1992-11-01,Food Services and Drinking Places,17420
1992-12-01,Motor Vehicle and Parts Dealers,36272
1992-12-01,Furniture and Home Furnishings Stores,4428
1992-12-01,Electronics and Appliance Stores,4248
1992-12-01,Building Mat. and Garden Equip. and Supplies Dealers,11082
1992-12-01,Food and Beverage Stores,31057
1992-12-01,Health and Personal Care Stores,7526
1992-12-01,Gasoline Stations,13475
1992-12-01,Clothing and Clothing Access. Stores,10318
1992-12-01,"Sporting Goods, Hobby, Musical Instrument, and Book Stores",3800
1992-12-01,General Merchandise Stores,21752
